units/ground/alien_tower_artillery_energy Alien_Tower_Artillery_Energy
units/ground/alien_tower_artillery_kinetic Alien_Tower_Artillery_Kinetic
units/ground/alien_tower_mortar_kinetic Alien_Tower_Mortar_Kinetic
units/ground/alien_tower_plasma_energy Alien_Tower_Plasma_Energy
units/ground/alien_boss_random Alien_Boss_Random
units/ground/arachnoid_magma Arachnoid_Magma
units/ground/arachnoid_sentinel Arachnoid 
units/ground/arachnoid_sentinel_alpha Arachnoid_Alpha 
units/ground/arachnoid_sentinel_ultra Arachnoid_Ultra
units/ground/arachnoid_sentinel_crystal Arachnoid_Crystal
units/ground/arachnoid_sentinel_crystal_alpha Arachnoid_Crystal_Alpha 
units/ground/arachnoid_sentinel_crystal_ultra Arachnoid_Crystal_Ultra
units/ground/arachnoid_boss Arachnoid_Boss
units/ground/arachnoid_boss_cryo Arachnoid_Boss_Cryo 
units/ground/arachnoid_boss_energy Arachnoid_Boss_Energy
units/ground/arachnoid_boss_fire Arachnoid_Boss_Fire
units/ground/arachnoid_boss_omega Arachnoid_Boss_Omega
units/ground/arachnoid_boss_random Arachnoid_Boss_Random
units/ground/baxmoth Baxmoth 
units/ground/baxmoth_alpha Baxmoth_Alpha
units/ground/baxmoth_ultra Baxmoth_Ultra
units/ground/baxmoth_omega Baxmoth_Omega
units/ground/baxmoth_boss_acid Baxmoth_Boss_Acid
units/ground/baxmoth_boss_cryo Baxmoth_Boss_Cryo
units/ground/baxmoth_boss_energy Baxmoth_Boss_Energy
units/ground/baxmoth_boss_fire Baxmoth_Boss_Fire
units/ground/baxmoth_boss_omega Baxmoth_Boss_Omega
units/ground/baxmoth_boss_zeta Baxmoth_Boss_Zeta
units/ground/baxmoth_boss_random Baxmoth_Boss_Random
units/ground/bomogan Bomogan 
units/ground/bomogan_alpha Bomogan_Alpha
units/ground/bomogan_magma Bomogan_Magma
units/ground/bomogan_omega Bomogan_Omega
units/ground/bomogan_omicron Bomogan_Omicron
units/ground/bomogan_ultra Bomogan_Ultra
units/ground/bradron Bradron 
units/ground/bradron_alpha Bradron_Alpha
units/ground/bradron_kinetic Bradron_Kinetic
units/ground/bradron_ultra Bradron_Ultra
units/ground/bradron_tesla Bradron_Tesla
units/ground/canoptrix Canoptrix
units/ground/canoptrix_alpha Canoptrix_Alpha
units/ground/canoptrix_ultra Canoptrix_Ultra
units/ground/canoptrix_crystal Canoptrix_Crystal
units/ground/canoptrix_crystal_alpha Canoptrix_Crystal_Alpha
units/ground/canoptrix_crystal_ultra Canoptrix_Crystal_Ultra
units/ground/crawlog Crawlog
units/ground/crawlog_alpha Crawlog_Alpha
units/ground/crawlog_ultra Crawlog_Ultra
units/ground/drillgor Drillgor
units/ground/drillgor_alpha Drillgor_Alpha
units/ground/drillgor_ultra Drillgor_Ultra
units/ground/flurian Flurian
units/ground/flurian_alpha Flurian_Alpha
units/ground/flurian_ultra Flurian_Ultra
units/ground/flurian_omega Flurian_Omega
units/ground/flurian_omicron Flurian_Omicron
units/ground/flurian_boss_acid Flurian_Boss_Acid
units/ground/flurian_boss_cryo Flurian_Boss_Cryo
units/ground/flurian_boss_energy Flurian_Boss_Energy
units/ground/flurian_boss_fire Flurian_Boss_Fire
units/ground/flurian_boss_omega Flurian_Boss_Omega
units/ground/flurian_boss_omicron Flurian_Boss_Omicron
units/ground/flurian_boss_random Flurian_Boss_Random
units/ground/gnerot Gnerot 
units/ground/gnerot_alpha Gnerot_Alpha
units/ground/gnerot_caverns Gnerot_Caverns
units/ground/gnerot_omega Gnerot_Omega
units/ground/gnerot_ultra Gnerot_Ultra
units/ground/gnerot_boss_acid Gnerot_Boss_Acid
units/ground/gnerot_boss_cryo Gnerot_Boss_Cryo
units/ground/gnerot_boss_energy Gnerot_Boss_Energy
units/ground/gnerot_burning_fight Gnerot_Boss_Fire
units/ground/gnerot_boss_random Gnerot_Boss_Random
units/ground/granan Granan 
units/ground/granan_alpha Granan_Alpha
units/ground/granan_ultra Granan_Ultra
units/ground/gulgor Gulgor
units/ground/gulgor_alpha Gulgor_Alpha
units/ground/gulgor_ultra Gulgor_Ultra
units/ground/kafferroceros Hammeroceros 
units/ground/kafferroceros_alpha Hammeroceros_Alpha 
units/ground/kafferroceros_ultra  Hammeroceros_Ultra 
units/ground/hedroner Hedroner
units/ground/hedroner_alpha Hedroner_Alpha
units/ground/hedroner_ultra Hedroner_Ultra
units/ground/hedroner_morphium Hedroner_Morphium
units/ground/kermon Kermon 
units/ground/kermon_alpha Kermon_Alpha
units/ground/kermon_ultra Kermon_Ultra
units/ground/krocoon Krocoon 
units/ground/krocoon_alpha Krocoon_Alpha
units/ground/krocoon_ultra Krocoon_Ultra
units/ground/krocoon_boss_acid Krocoon_Boss_Acid
units/ground/krocoon_boss_cryo Krocoon_Boss_Cryo
units/ground/krocoon_boss_energy Krocoon_Boss_Energy
units/ground/krocoon_boss_fire Krocoon_Boss_Fire
units/ground/krocoon_boss_random Krocoon_Boss_Random
units/ground/lesigian Lesigian 
units/ground/lesigian_alpha Lesigian_Alpha
units/ground/lesigian_ultra Lesigian_Ultra
units/ground/magmoth Magmoth
units/ground/magmoth_alpha Magmoth_Alpha
units/ground/magmoth_ultra Magmoth_Ultra
units/ground/magmoth_boss_acid Magmoth_Boss_Acid
units/ground/magmoth_boss_cryo Magmoth_Boss_Cryo
units/ground/magmoth_boss_energy Magmoth_Boss_Energy
units/ground/magmoth_boss_fire Magmoth_Boss_Fire
units/ground/morirot Morirot 
units/ground/morirot_alpha Morirot_Alpha
units/ground/morirot_ultra Morirot_Ultra
units/ground/mushbit Mushbit 
units/ground/mushbit_alpha Mushbit_Alpha
units/ground/mushbit_ultra Mushbit_Ultra
units/ground/necrodon Necrodon 
units/ground/necrodon_alpha Necrodon_Alpha
units/ground/necrodon_ultra Necrodon_Ultra
units/ground/nerilian Nerilian
units/ground/nerilian_alpha Nerilian_Alpha
units/ground/nerilian_ultra Nerilian_Ultra
units/ground/nerilian_boss_acid Nerilian_Boss_Acid
units/ground/nerilian_boss_cryo Nerilian_Boss_Cryo
