;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/dlc_1/headquarters/metallic.start;Investigate the strange meteorite's impact site.;Zbadaj miejsce uderzenia dziwnego meteorytu.;Изучите место падения странного метеорита.;Inspectez l'étrange point d'impact de la météorite.;Untersuche den Absturzort des seltsamen Meteoriten.;Investiga el lugar de impacto del extraño meteorito.;Investigue o local de impacto do meteorito misterioso.;调查奇怪陨石的撞击地点。;未知の隕石の衝突跡を調査する。;이상한 운석 충돌 현장을 조사하세요.
gui/hud/objective_name/dlc_1/headquarters/metallic.geoscanner;Analyze the debris with the Geoscanner.;Przeanalizuj szczątki za pomocą Geoskanera.;Проанализируйте обломки с помощью геосканера.;Analysez les débris à l'aide du géoscanner.;Analysiere mit dem Geoscanner die Trümmer.;Analiza los restos con el geoescáner.;Analise os destroços com o Explorador Geológico.;用地质探测仪分析碎片。;ジオスキャナを使って破片を分析する。;지질 스캐너로 잔해를 분석하세요.
gui/hud/objective_name/dlc_1/outpost_1/scout;Scout the area while Mr. Riggs gathers data.;Przeprowadź zwiad terenu, podczas gdy Mr. Riggs gromadzi dane.;Исследуйте территорию, пока мистер Ригз собирает данные.;Explorez la zone pendant que M. Riggs collecte des données.;Kundschafte die Gegend aus, während Mr. Riggs Daten sammelt.;Explora la zona mientras el Sr. Riggs recaba información.;Patrulhe a área enquanto o Sr. Riggs coleta dados.;在里格斯先生收集数据的时候，侦察该地区。;ミスター・リグスがデータを収集する間、周辺を偵察する。;릭스가 데이터를 수집하는 동안 지역을 정찰하세요.
gui/hud/objective_name/dlc_1/outpost_1/scout.emitter;Locate the dark energy wave emitter.;Zlokalizuj emiter fal ciemnej energii.;Найдите источник излучения волн темной энергии.;Localisez l'émetteur d'ondes d'énergie noire.;Lokalisiere den Emitter der Dunklen Energiewellen.;Localiza el emisor de ondas de energía oscura.;Localize o emissor de ondas de energia escura.;找到黑暗能量波的发射器。;ダークエネルギーの発生源を見つける。;암흑 에너지 방출지를 찾아내세요.
gui/hud/objective_name/dlc_1/outpost_1/research_lab;Investigate the alien structures.;Zbadaj obce struktury.;Исследуйте инопланетные постройки.;Inspectez les structures extraterrestres.;Untersuche die außerirdischen Bauwerke.;Investiga las estructuras alienígenas.;Investigue as estruturas alienígenas.;调查外星结构。;異星の構造物を調査する。;외계 시설을 조사하세요.
gui/hud/objective_name/dlc_1/outpost_1/research_lab.build;Build a research station near the ruins.;Zbuduj stację badawczą w pobliżu ruin.;Постройте исследовательскую станцию рядом с развалинами.;Construisez une station de recherche près des ruines.;Errichte eine Forschungsstation in der Nähe der Ruinen.;Construye una estación de investigación cerca de las ruinas.;Construa uma Estação de Pesquisa perto das ruínas.;在废墟附近建立一个研究站。;遺跡の近くに研究ステーションを建設する。;유적 근처에 연구 스테이션을 건설하세요.
gui/hud/objective_name/dlc_1/outpost_1/alien_tower.morphium;Connect Morphium to the alien structure.;Podłącz Morphium do struktury obcych.;Подведите морфиум к инопланетной постройке.;Reliez la source de morphium à la structure extraterrestre.;Verbinde Morphium mit dem außerirdischen Bauwerk.;Conecta el morphium a la estructura alienígena.;Conecte Morphium à estrutura alienígena.;将形变液连接到外星结构上。;異星の構造物にモルフィウムを接続する。;모르피움을 외계 시설과 연결하세요.
gui/hud/objective_name/dlc_1/outpost_1/alien_tower.approach;Approach the alien structure.;Podejdź do obcej struktury.;Подойдите к инопланетной постройке.;Approchez-vous de la structure extraterrestre.;Nähere dich dem außerirdischen Bauwerk.;Acércate a la estructura alienígena.;Aproxime-se da estrutura alienígena.;接近外星结构。;異星の構造物に近づく。;외계 시설에 접근하세요.
gui/hud/objective_name/dlc_1/outpost_1/crater_big;Enter the crater.;Wejdź do krateru.;Войдите в кратер.;Entrez dans le cratère.;Begib dich in den Krater.;Entra en el cráter.;Entre na cratera.;进入凹坑。;クレーターに入る。;크레이터에 들어가세요.
gui/hud/objective_name/dlc_1/outpost_1/investigate;Investigate dark energy wave emitters:;Zbadaj emitery fal ciemnej energii:;Исследуйте излучатели волн темной энергии:;Inspectez les émetteurs d'ondes d'énergie noire :;Untersuche die Emitter der Dunklen Energiewellen:;Investiga los emisores de ondas de energía oscura:;Investigue os emissores de ondas de energia escura:;调查暗能量波发射器。;ダークエネルギーの発生源を調査する：;암흑 에너지 방출지를 조사하세요:
