;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
ACHIEVEMENTS/achievement_01_desc;Explore at least 50% of a mission area before setting up your HQ in survival. ;Odkryj co najmniej 50% powierzchni mapy zanim zbudujesz Kwaterę Główną w Trybie Przetrwania.;Исследуйте не менее 50% территории перед строительством штаба в выживании. ;Explorez au moins 50 % de la zone de mission avant d'installer votre QG en mode survie. ;Erkunde mind. 50% eines Missionsgebiets, bevor du dein Hauptquartier im Überlebensmodus baust.;Explora al menos el 50 % de una zona de misión antes de montar tu CG en el modo Supervivencia. ;Explore ao menos 50% da área de uma missão, antes de instalar seu quartel em sobrevivência. ;在生存模式建立总部之前，探索至少50%的任务区。;サバイバルでHQを設立する前に最低50%のミッションエリアを探検する。;서바이벌에서 본부를 건설하기 전에 임무 지역의 50% 이상을 탐험. 
ACHIEVEMENTS/achievement_01_name;Indecisive ;Niezdecydowany;Нерешительность ;Indécision ;Unentschlossen ;Indeciso ;Indecisão ;优柔寡断;優柔不断 ;결정 장애 
ACHIEVEMENTS/achievement_02_desc;Mr. Riggs "dies" and drops the last weapon he was holding. ;Pan Riggs zostaje zniszczony, upuszczając ostanią broń, jaką miał w rękach.;Мистер Ригз «умирает» и роняет последнее оружие, которое держал в руках. ;M. Riggs est « mort » et a lâché l'arme qu'il tenait. ;Mr. Riggs "stirbt" und lässt seine letzte Waffe fallen. ;El Sr. Riggs «muere» y suelta la última arma que tenía. ;Sr. Riggs "morre" e solta a última arma que estava segurando. ;里格斯先生 "死了"，丢掉了他手中的最后一件武器。;ミスター・リグスが「死亡」し、握っていた最後の武器を落とす。;릭스가 죽으면서 마지막으로 사용한 무기를 떨어뜨림. 
ACHIEVEMENTS/achievement_02_name;Leaving Empty Handed ;Z pustymi rękami;С пустыми руками ;Les mains vides ;Mit leeren Händen ;Con las manos vacías ;Saindo de Mãos Vazias ;空手而归;手ぶらで去る ;공수래공수거 
ACHIEVEMENTS/achievement_03_desc;Use 250 consumables ;Użyj 250 przedmiotów użytkowych;Используйте 250 расходников ;Utilisez 250 consommables. ;Verwende 250 Verbrauchsgegenstände. ;Usa 250 consumibles. ;Use 250 consumíveis. ;使用250个消耗品;消耗品を250個使用する。;소비 아이템 250개를 사용함. 
ACHIEVEMENTS/achievement_03_name;Something Useful ;Coś przydatnego;Полезная штука ;Quelque chose d'utile ;Etwas Nützliches ;Algo útil ;Algo de Útil ;物尽其用;役立ちアイテム;쓸만한데 
ACHIEVEMENTS/achievement_04_desc;Fire 2 miniguns at the same time nonstop for 15 seconds. ;Co? Jak to za dużo nabojów? Strzelaj z dwóch minigunów jednocześnie przez 15 sekund bez przerwy.;Стреляйте из 2 мини-пушек одновременно на протяжении 15 секунд. ;Tirez avec 2 miniguns à la fois sans vous arrêter pendant 15 secondes. ;Feuere 2 Miniguns gleichzeitig und ohne Pause für 15 Sek. ab. ;Dispara 2 ametralladoras al mismo tiempo sin parar durante 15 segundos. ;Dispare duas miniguns ao mesmo tempo por 15 segundos, sem parar. ;同时不停地用2把迷你枪进行射击，持续15秒。;ミニガン2つを同時に15秒間途切れなく発射する。 ;미니건 2개를 동시에 15초간 멈추지 않고 발포함. 
ACHIEVEMENTS/achievement_04_name;Overkill? ;Przesada?;Не слишком? ;J'exagère ? ;Zu viel? ;¿Me he pasado? ;Exagero? ;过度杀戮？;やりすぎ？ ;너무했나? 
ACHIEVEMENTS/achievement_05_desc;No need for Scotty here. Make 101 rift jumps. ;Po co nam Scotty? Wykonaj 101 skoków przez Rift.;Обойдемся без Скотти. Совершите 101 прыжок в портал. ;Faites 101 sauts dimensionnels sans l'aide de ce bon vieux Scotty. ;Wir brauchen keinen Scotty. Führe 101 Riftsprünge durch. ;Nada de números redondos: realiza 101 saltos dimensionales. ;Não precisamos do Scotty aqui. Realize 101 saltos de fenda. ;这里不需要斯科特了。进行101次裂缝传送。;スコッティは必要ない。リフトジャンプを101回行う。;스카티는 필요 없어. 101번의 리프트 점프 달성함. 
ACHIEVEMENTS/achievement_05_name;Beam Me Up ;Zaberajmy się stąd.;Телепортируй меня ;Téléportation ;Beam mich hoch ;Dale caña ;Leve-me Para Cima ;把我传送上去;転送を頼む ;빔 미 업 
ACHIEVEMENTS/achievement_06_desc;Build your first Communications Hub in the campaign or the survival mode. ;Zbuduj swoje pierwsze Centrum Komunikacyjne w Kampanii lub w Trybie Przetrwania.;Постройте первый узел связи в режиме кампании или выживания. ;Construisez votre premier centre de communications en mode campagne ou survie. ;Baue deine erste Kommunikationszentrale in der Kampagne oder im Überlebensmodus. ;Construye tu primer centro de comunicaciones en el modo Campaña o Supervivencia. ;Construa a sua primeira central de comunicações na campanha, no modo sobrevivência. ;在战役或生存模式中建立你的第一个通信枢纽。;キャンペーンかサバイバルモードで最初の通信ハブを建設する。 ;캠페인 또는 서바이벌 모드에서 첫 통신 허브를 건설함. 
ACHIEVEMENTS/achievement_06_name;Ashley Phone Home ;Ashley Dzwonić Dom;Звонок домой для Эшли ;Ashley, téléphone, maison ;Ashley nach Hause telefonieren ;Le atiende Ashley ;Ashley... Telefone... Minha Casa... ;给家里打电话;アシュリー オウチ デンワ ;애슐리 폰 홈 
ACHIEVEMENTS/achievement_07_desc;You really want to keep it clean. Destroy 10 000 destructibles. ;Żeby nie było chwastów, żeby nie było krzaków. Zniszcz 10.000 obiektów zniszczalnych.;А вы действительно чистюля. Уничтожьте 10000 разрушаемых объектов. ;Vous n'aimez pas qu'on marche sur vos plates-bandes. Détruisez 10 000 obstacles. ;Sorg für Sauberkeit. Zerstöre 10.000 Objekte. ;Te gusta hacer limpieza. Destruye 10 000 objetos destructibles. ;Você quer mesmo deixar tudo arrumado. Destrua 10.000 destrutíveis. ;你真的想要一个干净的前院。摧毁10000个可破坏物。;キレイにしたほうがいい。破壊可能オブジェクトを10,000個破壊する。;깔끔한 성격. 10,000개의 오브젝트를 파괴함. 
ACHIEVEMENTS/achievement_07_name;Get off my Lawn ;Żeby nie było niczego;Вон с моей лужайки ;Dégagez de là ;Runter von meinem Rasen ;Fuera de mi jardín ;Saia do Meu Gramado ;离开我的草坪;庭から出ていけ ;내 잔디 밟지 마 
ACHIEVEMENTS/achievement_08_desc;Use skills 500 times. ;Użyj umiejętności 500 razy.;Используйте навыки 500 раз. ;Utilisez des compétences 500 fois. ;Setze 500-mal Fähigkeiten ein. ;Usa las habilidades 500 veces. ;Use habilidades 500 vezes. ;使用技能500次。;スキルを500回使用する。;스킬을 500번 사용함. 
ACHIEVEMENTS/achievement_08_name;I know Kung-Fu ;Znam Kung-Fu;Я знаю кунг-фу ;Je sais tout faire ;Ich kann Kung-Fu ;Sé artes marciales ;Eu sei Kung Fu ;我会功夫;カンフー習得;난 쿵푸를 알아 
ACHIEVEMENTS/achievement_09_desc;Make a big bang. Place a Nuclear Mine. ;Zrób duże bum. Postaw minę nuklearną.;Сделайте большой бабах. Установите ядерную мину. ;Faites un gros boum. Placez une mine nucléaire. ;Hinterlasse Eindruck! Platziere eine atomare Mine. ;Provoca un big bang: coloca una mina nuclear. ;Faça um grande estrondo. Posicione uma mina nuclear. ;制造一个大爆炸。放置一个核能地雷。;ビッグバンを引き起こせ！ニュークマインを設置する。;빅뱅 일으키기. 핵 지뢰를 설치함. 
ACHIEVEMENTS/achievement_09_name;Kaboom! ;Kabum!;Бабах! ;Boum ! ;Kabumm! ;¡Bum! ;Cabum! ;轰！轰！轰;ドカーン！;우르릉 꽝! 
