;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
ACHIEVEMENTS/achievement_37_desc;Dig through or destroy 1000 cavern walls.;Zniszcz lub przekop się przez 1000 ścian jaskiń.;Пробурите или уничтожьте 1000 стен пещер.;Forez ou détruisez 1 000 murs de cavernes.;Grabe dich durch 1.000 Höhlenwände oder zerstöre sie.;Excava o destruye 1000 muros de cavernas.;Escave ou destrua 1000 paredes de caverna.;挖穿或摧毁1000个洞壁。;1000個の洞窟の壁を掘り通すか、破壊する。;동굴 벽 1000개를 뚫거나 파괴하세요.
ACHIEVEMENTS/achievement_37_name;Excavation Site;Wykopaliska;Место раскопок;Site de fouilles;Ausgrabungsstätte;Punto de excavación;Sítio Arqueológico;挖掘现场;採掘現場;발굴지
ACHIEVEMENTS/achievement_38_desc;Kill 30 Drillgors.;Zabij 30 Drillgorów.;Убейте 30 буроломов.;Tuez 30 drillgors.;Töte 30 Drillgore.;Mata a 30 drillgor.;Mate 30 Perfuradores.;杀死30个钻探者。;ドリルゴアを30体倒す。;드릴고르 30마리를 죽이세요.
ACHIEVEMENTS/achievement_38_name;Dig or Die;Kto pod kim dołki kopie…;Бури или умри;Creuser ou mourir;Grab oder stirb;Excava o muere;Cave ou Morra;挖掘或死亡;掘るか死ぬか;이판사판
ACHIEVEMENTS/achievement_39_desc;Kill 100 enemies with the crystal walls' explosion.;Zabij 100 wrogów za pomocą wybuchów kryształowych murów.;Убейте 100 врагов взрывом кристаллических стен.;Tuez 100 ennemis en explosant les murs de cristal.;Töte 100 Feinde durch Kristallwandexplosionen.;Mata a 100 enemigos con la explosión de muros de cristal.;Mate 100 inimigos com explosões de Paredes de Cristal.;用水晶墙的爆炸杀死100个敌人。;結晶の壁の爆破を利用して100体の敵を倒す。;크리스털 벽의 폭발로 적 100마리를 죽이세요.
ACHIEVEMENTS/achievement_39_name;Brittle;Krucho z Wami…;Где тонко, там и взорвется;Comme du verre;Spröde;Frágil;Migalhas;脆皮;もろさ;취급 주의
ACHIEVEMENTS/achievement_40_desc;Set up 250 traps.;Rozstaw 250 pułapek.;Установите 250 ловушек.;Posez 250 pièges.;Lege 250 Fallen.;Coloca 250 trampas.;Prepare 250 armadilhas.;设置250个陷阱。;罠を250個仕掛ける。;250개의 함정을 설치하세요.
ACHIEVEMENTS/achievement_40_name;Home alone;Sam w domu;Один дома;Piège de cristal;Allein zu Hause;Solo en casa;Esqueceram de Mim;独自在家;ホーム・アローン;나 홀로 집에
ACHIEVEMENTS/achievement_41_desc;Open 10 bioanomalies in the Crystal Caverns biome.;Otwórz 10 bioanomalii w biomie Kryształowych Jaskiń.;Откройте 10 биоаномалий в биоме Кристаллических пещер.;Ouvrez 10 anomalies biologiques dans le biome des Cavernes de cristal.;Öffne 10 Bioanomalien im Kristallhöhlen-Biom.;Abre 10 anomalías biológicas en el bioma de las cavernas de cristal.;Abra 10 bioanomalias no bioma Cavernas de Cristal.;在水晶洞窟的生物群落中打开10个生物异常点。;結晶洞窟のバイオームでバイオアノマリーを10個開放する。;크리스털 동굴 생물군계에서 바이오현상 10개를 여세요.
ACHIEVEMENTS/achievement_41_name;Underground Glow;Podziemny blask;Подземное свечение;Luminescence souterraine;Unterirdisches Leuchten;Brillo subterráneo;Brilho Subterrâneo;地下光辉;地下の光;반짝이는 지하
