;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
ACHIEVEMENTS/achievement_49_desc;Dismantle 10 items at once. ;Rozłóż 10 przedmiotów naraz.;Разберите 10 предметов одновременно. ;Désassemblez 10 objets à la fois. ;Zerlege 10 Gegenstände auf einmal. ;Desmonta 10 objetos a la vez. ;Desmonte 10 itens de uma só vez. ;一次性拆解10件物品。  ;10個のアイテムを同時に解体する。 ;한 번에 10개의 아이템을 해체하세요. 
ACHIEVEMENTS/achievement_49_name;For profit! ;Dla pieniędzy!;Ради прибыли! ;Par intérêt ! ;Für den Gewinn! ;¡Beneficios! ;Pelo Lucro! ;稳赚不赔！  ;利益のために！ ;이익을 위해! 
ACHIEVEMENTS/achievement_50_desc;Find 50 weapons or upgrades. ;Znajdz 50 broni lub ulepszeń.;Найдите 50 единиц оружия или улучшений. ;Trouvez 50 armes ou améliorations. ;Finde 50 Waffen oder Aufwertungen. ;Encuentra 50 armas o mejoras. ;Encontre 50 armas ou melhorias. ;发现50件武器或升级组件。  ;50個の武器かアップグレードを見つける。 ;50개의 무기 또는 업그레이드를 찾으세요. 
ACHIEVEMENTS/achievement_50_name;But is it better than mine? ;Ale czy to jest lepsze niz moje?;Разве это лучше моего? ;Y a pas meilleure que la mienne ! ;Aber ist sie besser als meine? ;Pero, ¿es mejor que la mía? ;Mas É Melhor do que o Meu? ;难道比我的更强？  ;でもこっちの方が優れているでしょ？ ;내 것보다 좋을까? 
ACHIEVEMENTS/achievement_51_desc;Kill 30 OMEGA Class Creatures. ;Zabij 30 wrogów klasy OMEGA.;Убейте 30 существ класса Омега. ;Tuez 30 créatures de classe Oméga. ;Töte 30 Kreaturen der OMEGA-Klasse. ;Mata a 30 criaturas de clase Omega. ;Elimine 30 criaturas da classe ômega. ;击杀30头欧米茄级巨兽。  ;オメガ級のクリーチャーを30体倒す。 ;오메가급 생명체 30마리를 죽이세요. 
ACHIEVEMENTS/achievement_51_name;I'm SIGMA ;Jestem SIGMA;Я - СИГМА ;Je suis un SIGMA ;Ich bin SIGMA ;Soy un SIGMA ;Aqui É Sigma! ;我才是终极存在  ;俺が最強だ ;내가 시그마다 
ACHIEVEMENTS/achievement_52_desc;Use the "Search" option in Research or Inventory. ;Użyj opcji szukania na ekranach wynalazków lub ekwipunku.;Воспользуйтесь опцией «Поиск» в разделе «Исследование» или «Инвентарь». ;Utilisez l’option Chercher dans Recherche ou Inventaire. ;Nutze die Suchoption in der Forschungs- oder Inventaransicht. ;Usa la opción de «búsqueda» de la investigación o el inventario. ;Use a opção de busca em pesquisa ou no inventário. ;在研发或库存界面使用"搜索"功能。  ;研究かインベントリで「検索」オプションを使う。 ;연구 또는 인벤토리에서 “검색” 옵션을 사용하세요. 
ACHIEVEMENTS/achievement_52_name;Ask AI, it won't lie. ;Zapytaj AI, to nie skłamie.;Спросите ИИ - он не обманет. ;L’IA ne ment jamais ;Frag die KI, sie lügt nie. ;Pregunta a la IA ;Pergunta pra IA. ;问问AI吧，它从不说谎。  ;AIは嘘を吐かない ;AI에게 물어보세요, AI는 거짓말을 하지 않죠. 
ACHIEVEMENTS/achievement_53_desc;Scan for a new location on Galatea 37. ;Skanuj w poszukiwaniu nowej lokacji na Galatea 37.;Найдите новый регион на Галатее 37. ;Scannez Galatea 37 pour y trouver un nouvel emplacement. ;Scanne Galatea 37 nach einem neuen Standort ab. ;Escanea y encuentra una nueva ubicación en Galatea 37. ;Escaneie um novo local em Galatea 37. ;扫描伽拉忒亚37号星的新坐标。  ;ガラテア37で新たなロケーションをスキャンする。 ;갈라테아 37에서 새로운 위치를 스캔하세요. 
ACHIEVEMENTS/achievement_53_name;Not enough space ;Za mało miejsca;Недостаточно места ;Espace insuffisant ;Nicht genügend Platz ;Me quedo sin espacio ;Espaço Insuficiente. ;空间严重不足  ;スペースが足りない ;공간 부족 
