;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
biomes/ice/ice.biome;Cryo Fields;Pola Mrozu;Криополя;Cryochamps;Kryofelder;Estepa criogenizada;Campos Criogênicos;极寒原野;氷雪地帯;극저온 지대
BUTTON_new_open_campaign;New Open Campaign;Nowa Otwarta Kampania;Новая открытая кампания;Nouvelle campagne ouverte;Neue offene Kampagne;Nueva campaña abierta;Nova Campanha Aberta;新建开放战役;新しいオープンキャンペーン;새 오픈 캠페인
BUTTON_open_campaign;Open Campaign;Otwarta Kampania;Открытая кампания;Campagne ouverte;Offene Kampagne;Campaña abierta;Campanha Aberta;开放战役;オープンキャンペーン;오픈 캠페인
BUTTON_new_story_campaign;New Story Campaign;Nowa Kampania Fabularna;Новая сюжетная кампания;Nouvelle campagne histoire;Neue Story-Kampagne;Nueva campaña de la historia;Nova Campanha de História;新建剧情战役;新しいストーリーキャンペーン;새 스토리 캠페인
BUTTON_story_campaign;Story Campaign;Kampania Fabularna;Сюжетная кампания;Campagne histoire;Story-Kampagne;Modo de historia;Campanha de História;剧情战役;ストーリーキャンペーン;스토리 캠페인
campaigns/open/open.campaign;Open campaign;Otwarta Kampania;Открытая кампания;Campagne ouverte;Offene Kampagne;Campaña abierta;Campanha Aberta;开放战役;オープンキャンペーン;오픈 캠페인
DIALOG/announcement/base_damaged_earthquake;Base damaged by Earthquake;Baza uszkodzona przez trzęsienie ziemi.;База повреждена землетрясением;Base endommagée par un tremblement de terre;Basis wurde durch ein Erdbeben beschädigt;Base dañada por terremoto;Base danificada por terremoto;基地因地震受损;基地が地震のダメージを受けている;지진으로 인해 기지 손상
DIALOG/announcement/base_damaged_quicksand;Base damaged by Quicksand;Baza uszkodzona przez ruchome piaski.;База повреждена зыбучими песками;Base endommagée par des sables mouvants;Basis wurde durch Treibsand beschädigt;Base dañada por arenas movedizas;Base danificada por areia movediça;基地因流沙受损;基地が流砂のダメージを受けている;유사로 인해 기지 손상
gui/hud/building_description/large_energy_storage;Large Energy Storage is a high-capacity facility designed to store significant amounts of excess energy for later use.;Duży Magazyn Energii to obiekt o zwiększonej pojemności, przeznaczony do przechowywania znacznych ilości nadwyżek energii do późniejszego wykorzystania.;Большое хранилище энергии — объект большой ёмкости, накапливающий избыток энергии, чтобы использовать его при необходимости.;Le grand stockage d’énergie est une installation à grande capacité conçue pour stocker des quantités importantes d’énergie excédentaire pour un usage ultérieur.;Ein großer Energiespeicher ist eine Anlage mit hoher Speicherkapazität. So können große Mengen überschüssiger Energie für den späteren Gebrauch gespeichert werden.;El almacén de energía grande es una instalación de alta capacidad para almacenar cantidades significativas de energía para usarla más tarde.;O Grande Depósito de Energia é uma instalação de alta capacidade projetada para armazenar quantidades consideráveis de energia excedente para uso posterior.;大型能源储存设施是一种高容量建筑，用于储存大量剩余能量以备后用。;大型エネルギー貯蔵庫は余剰エネルギーを保管する施設で、相当量のエネルギーを貯蔵しておき、あとで使用することができる。;대용량 에너지 저장 시설은 상당량의 잉여 에너지를 저장하여 나중에 사용할 수 있도록 설계된 고용량 저장 시설입니다.
gui/hud/building_description/large_solid_material_storage;Large Solid Material Storage allows for long-term storage of large quantities of solid resources. It increases overall storage capacity and helps maintain stable supply chains for construction and production.;Duży Magazyn Surowców umożliwia długoterminowe składowanie nadwyżek produkcyjnych surowców. Zwiększa całkowitą pojemność magazynową i pomaga utrzymać stabilność łańcuchów dostaw dla budowy i produkcji.;Большое хранилище твёрдых материалов для длительного хранения крупных партий ресурсов. Повышает общий лимит складов и надёжность логистики.;Le grand stockage des solides permet un stockage sur le long terme de grande quantité de ressources solides. Il augmente la capacité de stockage totale et aide à maintenir des chaînes d’approvisionnement stables pour la construction et la production.;Mit einem großen Feststoffspeicher lassen sich große Mengen an festen Rohstoffen langfristig lagern. Er erhöht die Gesamtspeicherkapazität und trägt dazu bei, stabile Lieferketten für den Bau und die Produktion aufrechtzuerhalten.;El almacén de material sólido grande permite almacenar grandes cantidades de recursos sólidos. Aumenta la capacidad de almacenamiento general y ayuda a mantener las cadenas de suministros estables para la construcción y la producción.;O Grande Depósito de Materiais Sólidos permite o armazenamento de longo prazo de quantidades consideráveis de recursos sólidos. Ele aumenta a capacidade total de armazenamento e ajuda a manter cadeias de suprimentos estáveis para construção e produção.;大型固体材料储存设施可长期存放大量固体资源。它可提升整体储存上限，并有助于维持建设与生产的稳定资源供应。;大型個体物質貯蔵庫は大量の固形資源の長期保管を可能にする。総合的な資源保存量を拡張し、建設と生産に必要な物流を安定させる。;대용량 고체 보관 시설은 대량의 고체 자원을 장기간 보관할 수 있게 합니다. 이는 전체 저장 용량을 증가시키고 건설 및 생산을 위한 안정적인 공급망 유지에 기여합니다.
gui/hud/building_description/tower_acid_shredder;Acid Shredder Tower is a rapid-fire defense structure that saturates nearby targets with corrosive acid projectiles. It excels at eliminating large groups of small enemies thanks to projectiles splitting on impact and hitting multiple targets at once.;Kwasakrator to szybkostrzelna struktura obronna, która zasypuje pobliskie cele żrącymi pociskami kwasu. Doskonale eliminuje duże grupy małych wrogów dzięki pociskom rozdzielającym się przy trafieniu i rażącym wiele celów jednocześnie.;Башня «Кислотный измельчитель» — скорострельное оборонительное сооружение. Атакует ближайшие цели разъедающими кислотными снарядами. Особенно эффективна против больших групп мелких врагов, т.к. её снаряды расщепляются при ударе, поражая несколько целей одновременно.;La tour broyeuse à acide est une structure de défense à tir rapide qui sature les cibles proches avec des projectiles acides corrosifs. Elle excelle dans l’art d’éliminer de grands groupes de petits ennemis grâce à la fragmentation des projectiles à l’impact, touchant plusieurs cibles simultanément.;Der Säureschredder-Turm ist eine schnell feuernde Verteidigungsanlage, die Ziele in ihrer Nähe mit ätzenden Säuregeschossen überschüttet. Er eignet sich hervorragend für die Bekämpfung großer Gruppen kleiner Gegner, da sich die Geschosse beim Aufprall zerstreuen und mehrere Ziele gleichzeitig treffen.;La torre de ácido corrosivo una estructura defensiva de fuego rápido que detiene a los enemigos cercanos con proyectiles de ácido corrosivo. Es excelente a la hora de encargarse de grupos grandes de enemigos gracias a que los proyectiles se dividen al impactar y golpean a varios enemigos a la vez.;A Torre Trituradora de Ácido é uma estrutura de defesa de disparo rápido que encharca os alvos próximos com projéteis de ácido corrosivo. Ela é excelente para eliminar grupos grandes de inimigos pequenos, graças aos projéteis que se dividem ao impactar, atingindo múltiplos alvos de uma vez.;酸液撕裂塔是一种高射速防御建筑，可向附近目标倾泻腐蚀性酸液弹。其弹体在命中后会分裂，可同时打击多个目标，尤其擅长清除大量小型敌人。;硫酸弾タワーは付近の標的を酸性の投射物で無力化する防衛施設。高い発射速度と着弾と同時に爆散する砲弾を発射し、広範囲に広がる小型生物の大群を一掃するのに適している。;산성 분쇄 타워는 주변의 적들에게 부식성 산성 투사체를 퍼부어 초토화하는 속사형 방어 시설입니다. 이 타워는 투사체가 적중 시 분열되며 여러 대상을 동시에 타격하는 특성을 가지고 있어, 체력이 낮은 적들이 떼를 지어 몰려올 때 압도적인 위력을 발휘합니다.
gui/hud/building_description/tower_icicle_thrower;Icicle Tower fires ice projectiles that deal cryo damage and significantly slow down enemies. It is effective at controlling enemy movement and reducing the pressure from advancing waves.;Wieża Soplowa strzela lodowymi pociskami, które zadają obrażenia kriogeniczne i znacząco spowalniają przeciwników. Jest skuteczna w kontroli ruchu wrogów i zmniejszaniu presji ze strony nacierających fal.;Башня «Ледяная сосулька» выпускает ледяные снаряды, наносящие крио-урон и значительно замедляющие врагов. Эффективна для контроля передвижения противника и снижения давления наступающих волн.;La tour stalactite tire des projectiles de glace infligeant des dégâts cryogéniques et ralentissant considérablement les ennemis. Elle est efficace pour contrôler les déplacements ennemis et réduire la pression des vagues d’attaque.;Der Eiszapfenturm feuert Eisprojektile ab, die Kryoschaden verursachen und Gegner erheblich verlangsamen. Er eignet sich hervorragend, um die Bewegungen des Gegners einzuschränken und den Ansturm vorrückender Wellen abzuschwächen.;La torre de hielo dispara proyectiles helados que infligen daño helado y ralentizan a los enemigos significativamente. Es efectiva para controlar el movimiento de los enemigos y reducir la presión de las oleadas que avanzan.;A Torre de Gelo dispara projéteis de gelo que causam dano criogênico e reduzem significativamente a velocidade dos inimigos. Ela é eficaz para controlar o movimento inimigo e reduzir a pressão das ondas que avançam.;冰晶塔发射冰霜弹体，造成冰冻伤害并大幅减缓敌人速度。它在控制敌军推进、缓解进攻压力方面非常有效。;凍結弾タワーは氷の投射物を発射し、敵に凍結ダメージを与え動きを鈍化させる。敵の動きを抑制し、大群による侵攻の圧力を和らげるのに適している。;고드름 타워는 극저온 피해를 입히고 적의 이동 속도를 크게 늦추는 얼음 투사체를 발사하는 방어 시설입니다. 적의 움직임을 제어하고 몰려오는 적들의 압박을 줄이는 데 매우 효과적입니다.
