;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/demo/ashley_base_defenses_01;Let's set up some walls and Sentinel Towers. Focus our defences on the western direction. They never change the beginning of this excercise... ;Postawmy mury i Wieże Obronne. Musimy się zabezpieczyć od zachodu. To ćwiczenie zawsze wygląda tak samo...;Начнем с постройки стен и дозорных башен. Сосредоточим оборону на западе: начинают они всегда одинаково... ;Bâtissons quelques murs et tours de sentinelle. Concentrons-nous sur les fortifications à l'ouest. Le début de cet exercice ne changera jamais… ;Lass uns ein paar Mauern und Wachtürme errichten. Konzentrieren wir unsere Abwehr auf die westliche Front. Sie passen den Anfang dieser Übung niemals an … ;Coloquemos algunos muros y torres centinela. Centremos nuestras defensa en dirección al oeste, ellos nunca cambian el principio de este ejercicio... ;Vamos colocar um muro e Torres Sentinela. Concentre nossas defesas na direção oeste. Eles nunca mudam o começo deste exercício… ;先来建造防御墙和哨兵塔吧。着重对西面进行防御。模拟作战的开头总是一成不变…… ;まず壁やセンチネルタワーを建てましょう。西側の防衛を固めるの。この演習、毎回そこから始まるのよね……;장벽과 보초병 타워를 세워보죠. 서쪽 방어선에 집중해야 돼요. 항상 이런 식으로 시작했죠... 
DIALOG/demo/ashley_base_defenses_02;Slaughtering indigineous creatures was never my area of expertise…;Mordowanie lokalnej fauny nigdy nie było moją specjalnością...;Истребление аборигенных видов никогда не было моей специализацией...;Massacrer des créatures indigènes n'a jamais été mon domaine d'expertise...;Einheimische Kreaturen zu töten war nie wirklich mein Spezialgebiet …;Masacrar criaturas autóctonas nunca fue mi especialidad...;Exterminar criaturas nativas nunca foi minha especialidade…;消灭当地的骇人生物从来不是我的专长……;現地のクリーチャーを倒して回るなんて、本当は専門外なんだけど……;토착 생물 학살은 내 전문 분야가 아닌데…
DIALOG/demo/ashley_base_defenses_03;We're ready for them Mr Riggs. Remember to use repair kits if necessary.;Jesteśmy chyba gotowi, co nie, Riggs? Pamiętaj o używaniu zestawów naprawczych.;Мистер Ригз, мы готовы. Не забывай использовать ремонтные комплекты, когда понадобится.;On est prêts, M. Riggs. N'oubliez pas d'utiliser des kits de réparation si nécessaire.;Wir sind bereit dafür, Mr. Riggs. Wir sollten nur nicht vergessen, bei Bedarf Reparaturkits einzusetzen.;Estamos listos, Sr. Riggs. No olvides utilizar kits de reparación cuando sea necesario.;Estamos preparados, Sr. Riggs. Lembre-se de usar os kits de reparo, se necessário.;里格斯先生，我们已经做好迎战他们的准备了。必要时记得使用修理包。;準備できたわ、ミスター・リグス。必要になったら迷わずリペアキットを使って。;그거에 관한 거라면 릭스가 딱이죠. 필요하면 수리 키트도 잊지 말고 사용하세요.
DIALOG/demo/ashley_base_defenses_04;Mr Riggs is the only companion that I need. We can handle the unknown, just let us do our job.;Pan Riggs to jedyne towarzystwo, którego potrzebuję. Poradzimy sobie ze wszystkim, po prostu dajcie nam pracować.;Мистер Ригз – идеальный напарник, другого мне не надо. Мы справимся с неизвестностью и сделаем свою работу.;M. Riggs est le seul compagnon dont j'ai besoin. On peut gérer l'inconnu, laissez-nous simplement faire notre travail.;Mr. Riggs ist der einzige Begleiter, den ich brauche. Gemeinsam können wir uns dem Unbekannten stellen, also lassen Sie uns unsere Arbeit machen.;El Sr. Riggs es el único compañero que necesito. Podemos encargarnos de lo desconocido, solo tenemos que hacer lo que mejor se nos da.;O Sr. Riggs é o único companheiro que preciso. Podemos lidar com o desconhecido, é só nos deixar fazer o nosso trabalho.;我只要里格斯先生做我的同伴就够了。我们能够面对未知的一切。就让我们大展身手吧。;仲間はミスター・リグスがいればそれで十分。二人ならどんなことにも対処できるわ。さあ、仕事を始めましょう。;저한테 필요한 동료는 릭스뿐이에요. 우린 이 미지의 환경에서도 일을 처리할 수 있으니까 시작할게요.
DIALOG/demo/ashley_build_hq_01;HQ construction in progress. Sometimes I wish we could fast forward this part of the simulation...;Budowa Kwatery Dowodzenia rozpoczęta. Ach, co ja bym dała za przyspieszenie tej części symulacji...;Штаб строится. Иногда мне хочется перемотать эту часть симуляции...;La construction du quartier général est en cours. Parfois, j'aimerais accélérer cette partie de la simulation…;Hauptquartier wird errichtet. Manchmal wünschte ich, wir könnten diesen Teil der Simulation einfach überspringen …;Construcción del CG en progreso. A veces, me gustaría saltarme esta parte de la simulación...;Construção do Quartel em andamento. Às vezes eu queria poder avançar essa parte da simulação…;总部正在建造中。真希望我们能快速跳过模拟作战这部分内容……;HQの建設が進行中。シミュレーションのこの部分って、飛ばせるといいんだけどね……;본부 건설 중. 가끔 시뮬레이션에서 이 부분을 빨리 감고 싶을 때가 있어요...
DIALOG/demo/ashley_build_hq_02;Slaughtering indigineous creatures was never my area of expertise...;Mordowanie lokalnej fauny nigdy nie było moją specjalnością...;Истребление аборигенных видов никогда не было моей специализацией...;Massacrer des créatures indigènes n'a jamais été mon domaine d'expertise…;Einheimische Kreaturen zu töten war nie wirklich mein Spezialgebiet …;Masacrar criaturas autóctonas nunca fue mi especialidad...;Exterminar criaturas nativas nunca foi minha especialidade…;消灭当地的骇人生物从来不是我的专长……;現地のクリーチャーを倒して回るなんて、本当は専門外なんだけど……;토착 생물 학살은 내 전문 분야가 아닌데...
DIALOG/demo/ashley_build_or_attack;We'll need an Ironium Factory to build more defenses. We'll have to find an ore deposit to build one. Hunting down some critters also sounds interesting.;Będziemy potrzebować Fabryki Żelaza, żeby zbudować więcej budynków obronnych. Musimy znaleźć złoże rudy. Chociaż małe polowanie też brzmi nieźle.;Для новых оборонных сооружений понадобится железиевый завод. Чтобы его построить, нужно найти месторождение руды. Поохотиться на местную живность тоже не помешает.;On a besoin d'une usine de ferronium pour construire d'autres fortifications. On doit trouver un gisement minier pour construire une usine. On pourrait aussi chasser quelques créatures.;Wir brauchen eine Ironium-Fabrik, um weitere Abwehranlagen zu errichten. Dazu müssen wir zuerst ein Erzvorkommen finden. Ein paar Kreaturen zu jagen, klingt allerdings auch nicht schlecht.;Vamos a necesitar una fábrica de ironio para construir más sistemas de defensa. Tenemos que encontrar un depósito de minerales para construirla. Cazar algunos bichos tampoco estaría mal.;Precisaremos de uma Fábrica de Ferrônio para construir mais defesas, e para isso teremos que encontrar um depósito de minério. Caçar uns bichos também parece interessante.;我们需要铁矿厂来建造更多防御设施。首先得找到铁矿床，并在那里建一座铁矿厂。沿途要是能猎到小动物也不错。;さらに防壁を作るならアイロニウム採掘機が必要になるわ。それを作るには鉱床を見つけないと。獲物を狩るのも面白そうね。;방어선을 더 튼튼하게 갖추려면 철 공장이 필요해요. 공장을 지으려면 광상을 찾아야 하고요. 사냥에 나서는 것도 재밌을 거 같네요.
DIALOG/demo/ashley_choose_objective_01;We didn't have any time to study the creatures that are attacking us, the only thing we can do right now is fight them or strengthen our defenses. We'll need an Ironium Factory to build more towers. We'll have to find an ore deposit to build one. ;Nie było za bardzo czasu, żeby dowiedzieć się czegoś o stworzeniach, które nas atakują. Jedyne, co możemy teraz zrobić, to walczyć albo wzmocnić naszą obronę. Będziemy potrzebować Fabryki Żelaza, żeby zbudować więcej wież. Musimy znaleźć złoże rudy.;У нас нет времени изучать атакующих нас существ, мы можем только отбиваться или укреплять оборону. Нам нужен железиевый завод, чтобы построить больше башен. Чтобы его построить, надо найти месторождение руды. ;On n'a pas eu le temps d'étudier les créatures qui nous attaquent, la seule chose à faire maintenant est de les affronter ou de renforcer nos fortifications. On a besoin d'une usine de ferronium pour construire d'autres tours. On doit trouver un gisement minier pour construire une usine. ;Wir hatten keine Zeit, um die Kreaturen zu erforschen, die uns angreifen. Das Einzige, was wir jetzt tun können, ist sie zu bekämpfen oder unsere Abwehr zu verstärken. Wir brauchen eine Ironium-Fabrik, um weitere Türme zu errichten. Dazu müssen wir zuerst ein Erzvorkommen finden. ;No hemos tenido tiempo para estudiar a las criaturas que nos están atacando. Ahora mismo, lo único que podemos hacer es luchar contra ellas o reforzar nuestras defensas. Necesitamos una fábrica de ironio para construir más torres, pero necesitamos encontrar un depósito de minerales para hacerlo. ;Não tivemos tempo para estudar as criaturas que estão nos atacando, agora só podemos enfrentá-las ou fortalecer nossas defesas. Precisaremos de uma Fábrica de Ferrônio para construir mais torres, e para isso teremos que encontrar um depósito de minério. ;现在没时间去研究那些攻击我们的生物到底是什么。我们能做的只有击败它们或强化防御。为此，需要建一座铁矿厂，以便布置更多的塔楼。得先找到矿床，然后兴建一座铁矿厂。 ;敵のことを調べる時間はなかった。今できるのは、やつらと戦うか、防衛を強化するかのどちらかよ。もっとタワーを建てるならアイロニウム採掘機が必要になるわ。採掘機を作るには鉱床を見つけないと。 ;공격해오는 녀석들을 연구할 시간이 없어요. 지금 당장 맞서 싸우든지, 방어선을 강화해야 돼요. 타워를 더 건설하려면 철 공장이 필요해요. 공장을 지으려면 광상을 찾아야 하고요.
DIALOG/demo/ashley_hello;Don't worry Mr. Riggs, our sentinel towers will take care of this. Let's watch them do the shooting, while I stretch our joints a little.;Nie martw się, Riggs. Nasze wieże spokojnie dadzą radę. Popatrzmy sobie jak strzelają, a ja trochę rozprostuję kości.;Не волнуйся, мистер Ригз, наши дозорные башни с этим справятся. Присмотри за стрельбой, пока я немного разомнусь.;Ne t'inquiète pas, M. Riggs, nos tours de sentinelle s'en occuperont. Observons-les tirer, pendant que j'étire un peu nos articulations.;Keine Sorge, Mr. Riggs. Unsere Wachtürme kommen damit schon klar. Lass uns ihnen beim Schießen zusehen, während ich uns ein wenig die Beine vertrete.;No te preocupes, Sr. Riggs, nuestras torres centinela se encargarán de esto. Veamos cómo disparan mientras estiramos un poco.;Não se preocupe, Sr. Riggs, nossas Torres Sentinela cuidarão disso. Vamos esticar um pouco as pernas enquanto assistimos ao tiroteio delas.;里格斯先生你就放心吧。我们的哨兵塔对付它们绰绰有余。我们可以一边欣赏他们"弹药烟花”，一边松松筋骨。;心配しないで、ミスター・リグス。センチネルタワーが何とかしてくれる。迎撃はタワーに任せて、ストレッチでもしていましょう。 ;릭스, 걱정 마. 보초병 타워에서 해결해줄 테니까. 좀 쉬면서 타워에서 총 쏘는 모습을 지켜볼까?
DIALOG/demo/ashley_nest;This looks like a hive of some sort. Let's look inside to see if it's occupied.;To wygląda na jakieś gniazdo. Sprawdźmy, czy coś tam siedzi.;Похоже на какой-то улей. Давай-ка заглянем внутрь и посмотрим, кто там живет.;On dirait une sorte de ruche. Regardons à l'intérieur pour voir si elle est occupée.;Das sieht mir nach einer Art Nest aus. Schauen wir mal hinein und sehen nach, ob jemand zu Hause ist.;Parece una especie de colmena. Echemos un vistazo en su interior para ver si está habitada.;Isto parece um tipo de colmeia. Vamos olhar lá dentro e ver se está ocupada.;这玩意儿看起来像某种生物的巢穴。进去里面看看有什么。;何かの巣みたいね。中に何か住んでないか見てみましょう。;뭔가 벌집 같은 게 있네요. 뭔가 살고 있는지 안을 살펴보죠.
