;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/planetary_scanner/mission_metallic_outpost;Metallic Valley;Metaliczna Dolina;Железная долина;Vallée métallique;Metalltal;Valle metálico;Vale Metálico;合金峡谷;鋼鉄の谷;금속 계곡
gui/menu/planetary_scanner/mission_metallic_outpost_description;A supposed ancient meteorite impact crater. Long-range orbital scanning indicated an abundance of heavy elements and a primarily metallic composition of the area.;Przypuszczalne starożytne miejsce uderzenia meteorytu. Skanowanie orbitalne dalekiego zasięgu wskazało na wysoki poziom obecności ciężkich pierwiastków i przewagę materiałów metalicznych na tym obszarze.;Предположительно древний метеоритный кратер. Дальнее орбитальное сканирование показало изобилие тяжелых элементов и преимущественно металлический состав данной области.;Il s'agirait d'un ancien cratère formé par l'impact d'une météorite. Le scan orbital à grand rayon a décelé la présence d'éléments lourds en abondance et a révélé que la composition des sols de cette zone était principalement métallique.;Ein Krater, der durch den Einschlag eines uralten Meteoriten entstanden sein soll. Orbitale Langstecken-Scans deuten auf viele schwere Elemente und hochgradig metallische Zusammensetzung des Gebiets hin.;Un cráter donde supuestamente impactó un antiguo meteorito. El escaneo orbital de largo alcance indicó una gran cantidad de elementos pesados y una composición principalmente metálica de la zona.;Uma cratera criada por um suposto meteorito antigo. A Exploração Orbital de longo alcance indicou abundância de elementos pesados e uma composição sobretudo metálica da região.;一个猜想的古代陨石撞击坑。长距离轨道扫描表明该地区有大量的重元素和主要金属成分。;大昔に落ちた隕石によってできたクレーターだと言われている。長距離軌道スキャンによって大量の重元素が検知され、また辺り一帯の主成分が金属であることがわかった。;고대의 운석 크레이터. 장거리 행성 스캐닝에 의하면 주변은 대부분 금속으로 이루어져 있으며 중원소가 풍부합니다.
gui/menu/planetary_scanner/mission_metallic_crash_site;Dark Energy Emission;Ślady Ciemnej Energii;Излучение темной энергии;Émission d'énergie noire;Emissionen Dunkler Energie;Emisión de energía oscura;Emissão de Energia Escura;暗能量发射;ダークエネルギーの発生;암흑 에너지 방출
gui/menu/planetary_scanner/mission_metallic_crash_site_description;Data gathered within the Metallic Valley suggests that this location contains a strong dark energy wave emitter. Find and secure the source of these emissions.;Dane zebrane w Metalicznej Dolinie sugerują, że w tym miejscu znajduje się silny emiter fal ciemnej energii. Znajdź i zabezpiecz źródło tych emisji.;Судя по данным, собранным в Железной долине, в данной точке расположен мощный источник волн темной энергии. Найдите и изучите этот источник излучения.;Les données recueillies au sein de la Vallée métallique suggèrent que ce lieu abrite un émetteur d'ondes d'énergie noire. Trouvez et sécurisez la source de ces émissions.;Die im Metalltal gesammelten Daten lassen darauf schließen, dass es an diesem Ort einen leistungsstarken Emitter Dunkler Energie gibt. Finde und sichere die Quelle dieser Emissionen.;Los datos recabados en el valle metálico sugieren que en esta ubicación hay un potente emisor de ondas de energía oscura. Busca el origen de las emisiones y protégelo.;Dados coletados no Vale Metálico sugerem que exista no local um forte emissor de ondas de energia escura. Encontre e assegure a fonte dessas emissões.;在合金峡谷内收集的数据表明，这个地方有一个强大的暗能量波发射器。找到并确保这些发射源的安全。;鋼鉄の谷で収集されたデータによると、この場所に強いダークエネルギーの発生源があるようだ。発生源を突き止め、確保する。;금속 계곡에서 수집된 데이터에 의하면 이곳에서 강력한 암흑 에너지파가 방출되고 있습니다. 방출의 근원지를 찾아 확보하세요.
gui/menu/planetary_scanner/mission_metallic_factory;Biomanufacturing Plateau;Zagęszczenie biofabryk;Биопроизводственное плато;Plateau de biofabrication;Biomanufacturing-Plateau;Meseta de la fábrica biológica;Platô de Biofabricação;生物制造高地;バイオマニュファクチャリング高原;바이오제조 고원
gui/menu/planetary_scanner/mission_metallic_factory_description;A large plateau within the Metallic Valley biome that is densely populated with hybrid creatures. It is probably a biomanufacturing facility and a likely source of hostile attacks against our presence.;Duży płaskowyż w obrębie biomu Doliny Metalicznej, zamieszkany przez liczne istoty hybrydowe. Jest to prawdopodobnie miejsce produkcji biohybryd i prawdopodobne źródło wrogich ataków na nasze placówki.;Большое плато, расположенное в биоме Железной долины, густо населенное существами-гибридами. Предположительно является биопроизводственным комплексом и станет источником враждебности в отношении нашего присутствия на планете.;Un vaste plateau densément peuplé de créatures hybrides au cœur du biome de la Vallée métallique. Il s'agit probablement d'une installation de biofabrication, et il n'est pas impossible que notre présence y entraîne des réactions hostiles.;Ein großes Plateau im Metalltal-Biom, das von vielen Hybridgeschöpfen bevölkert wird. Es handelt sich möglicherweise um eine Biomanufacturing-Einrichtung, von der aus Angriffe auf uns stattfinden.;Una gran meseta dentro del bioma del valle metálico, con una elevada población de criaturas híbridas. Probablemente se trate de una fábrica biológica. Nuestra presencia no será bien recibida.;Um grande platô localizado no bioma Vale Metálico, densamente populado por criaturas híbridas. Seguramente, trata-se de uma instalação de biofabricação, e é bem provável que nossa presença seja recebida com ataques hostis.;合金峡谷生物群落中的一个巨大高地，那里密布着融合体生物。它可能是一个生物制造设施，也可能是针对我们存在的敌对攻击来源。;鋼鉄の谷のバイオーム内に存在する広大な高原で、多くのハイブリッド・クリーチャーの生息地となっている。ここはおそらくバイオマニュファクチャリング施設で、我々に対する敵対行動の発生源だ。;하이브리드 생물들로 가득한 금속 계곡 생물군계의 방대한 고원. 바이오제조 시설로 추정되며 우리를 향한 위협의 근원지로 추정됩니다.
gui/menu/planetary_scanner/mission_metallic_lakes;Morphium Lake;Jezioro Morphium;Озеро морфиума;Lac de morphium;Morphiumsee;Lago de morphium;Lago de Morphium;形变液体湖;モルフィウム湖;모르피움 호수
gui/menu/planetary_scanner/mission_metallic_lakes_description;A large lake of liquid within the metallic biome that could be a near-infinite source of Morphium. Constructing a compression facility within this area should allow us to take advantage of this resource anywhere on the globe.;Duże jezioro w obrębie biomu metalicznego, które może być niemal nieskończonym źródłem morphium. Wybudowanie na tym obszarze kompresora cieczy powinno umożliwić nam korzystanie z tego zasobu w dowolnym miejscu na planecie.;Большое озеро в пределах металлического биома, являющееся практически неисчерпаемым источником морфиума. Компрессионная станция в данной области позволит нам пользоваться этим ресурсом в любой точке планеты.;Un vaste lac de substance liquide dans le biome métallique qui pourrait très bien être une source presque inépuisable de morphium. Construire une installation de compression dans cette zone devrait nous permettre d'exploiter cette ressource partout sur le globe.;Ein großer See im Metall-Biom, der eine schier unendliche Quelle von Morphium sein könnte. Der Bau einer Kompressionsanlage in dieser Gegend sollte uns ermöglichen, diesen Rohstoff auf dem gesamten Planeten zu nutzen.;Un gran lago de líquido dentro del bioma metálico que podría ser una fuente prácticamente inagotable de morphium. La construcción de una instalación de compresión en esta zona debería permitirnos aprovechar este recurso en cualquier lugar del planeta.;Um grande lago localizado no bioma Vale Metálico, que talvez seja uma fonte quase inesgotável de Morphium. Erguer uma instalação de compressão nesta área deve nos permitir tirar vantagem deste recurso em qualquer parte do globo.;合金生物群落中的一个大型液体湖泊，可能是一个近乎无限的形变液来源。在这个地区建造一个压缩设施，可以让我们在整个星球任何地方利用这种资源。;金属質のバイオームに存在する広大な湖で、無限にも思える量のモルフィウムを湛えている。このエリアに圧縮施設を建設すれば、この星のどこにいてもこの資源を利用できるようになるだろう。;금속 생물군계 내의 거대한 호수로, 모르피움이 무한대로 솟아나는 원천으로 추정됩니다. 이 지역에 압축 시설을 건설하면 어디서든 이 자원을 활용할 수 있습니다.
gui/menu/planetary_scanner/mission_metallic_alien_base;X-Morph Stronghold;Twierdza X-Morph;Крепость Икс-морфов;Forteresse X-Morph;X-Morph-Festung;Fortaleza X-Morph;Fortaleza X-Morph;X变体堡垒;モルフXの要塞;X-모프 중심지
gui/menu/planetary_scanner/mission_metallic_alien_base_description;Thorough study of dark energy wave emissions from X-Morph pylons suggests that this location houses some kind of central communications hub. Long-range scans indicate that there is a single narrow path leading to the main location.;Dokładne badania emisji fal ciemnej energii z pylonów X-Morphów sugerują, że w tym miejscu znajduje się coś w rodzaju centralnego węzła komunikacyjnego. Skany dalekiego zasięgu wskazują, że do tego miejsca prowadzi jedna wąska ścieżka.;После тщательного изучения волн темной энергии, исходящих из пилонов Икс-морфов мы пришли к выводу, что в этой точке находится некий центр связи. Дальнее сканирование показало, что к основной локации ведет единственный узкий подход.;Un examen approfondi des émissions d'ondes d'énergie noire produites par les pylônes X-Morph suggère que cet endroit abrite une sorte de centre de communications. Les scans à grand rayon ont révélé la présence d'un unique chemin étroit menant au site principal.;Eingehende Untersuchungen der Emissionen der Dunklen Energiewellen, die von den X-Morph-Masten ausgehen, sprechen dafür, dass sich an diesem Ort eine Art zentraler Kommunikationsanlage befindet. Langstrecken-Scans lassen darauf schließen, dass es einen langen schmalen Pfad zur Hauptanlage gibt.;El estudio minucioso de las emisiones de ondas de energía oscura de los postes X-Morph sugiere que en este lugar hay una especie de centro de comunicaciones. Los escaneos de largo alcance indican que solo hay un camino, de lo más estrecho, que lleva a la ubicación principal.;Um estudo aprofundado sobre as emissões de ondas de energia escura dos pilones X-Morph sugere que este local abriga algum tipo de central de comunicação. Varreduras de longo alcance apontaram um único caminho estreito que leva ao local principal.;对来自X变体铁塔的暗能量波发射的彻底研究表明，这个地方有某种中央通信枢纽。长距离扫描表明，这里有一条狭窄的路径通往主要地点。;モルフXのパイロンから発せられているダークエネルギーを徹底的に調査した結果、この場所に何らかの通信の中枢を担う施設がある可能性が浮上した。長距離スキャンによって、主要部へと続く細い道が1つ見つかった。;X-모프 파일론의 암흑 에너지파 방출을 분석한 결과 이곳에 일종의 중앙 통신 허브가 위치한 것으로 보입니다. 장거리 스캔에 의하면 중심지로 가는 단 하나의 좁은 길이 있습니다.
gui/menu/planetary_scanner/mission_caverns_outpost;Crystal Cavern;Kryształowa Jaskinia;Кристаллическая пещера;Cavernes de cristal;Kristallgrotte;Caverna de cristal;Cavernas de Cristal;水晶之穴;結晶洞窟;크리스털 동굴
gui/menu/planetary_scanner/mission_caverns_outpost_description;Further exploration has led us to a vast underground cavern with exceptionally rich crystalline growth. Excavate soft limestone rock to establish a subterranean base of operations.;Dalsza eksploracja doprowadziła nas do rozległej podziemnej jaskini z wyjątkowo bogatą warstwą krystaliczną. Przekop miękkie skały wapienne, aby założyć podziemną bazę operacyjną.;Во время дальнейшего исследования под землей была обнаружена обширная пещера, полная кристаллических образований. Выдолбите мягкий известняк, чтобы подготовить место для подземной операционной базы.;En continuant nos explorations, nous avons découvert une grande caverne souterraine avec de nombreux cristaux. Extrayez du calcaire tendre pour établir une base d'opérations souterraine.;Weitere Erkundungen haben uns zu einer riesigen unterirdischen Grotte mit außergewöhnlich reichem kristallinem Vorkommen geführt. Baue weiches Kalkgestein ab, um einen unterirdischen Stützpunkt zu errichten.;Una exploración adicional nos ha llevado a una gran caverna subterránea con una masa cristalina de riqueza excepcional. Excava la suave roca caliza para establecer una base de operaciones subterránea.;Investigações aprofundadas nos trouxeram até uma vasta caverna subterrânea com protuberâncias cristalinas riquíssimas. Escave a rocha de calcário macio para estabelecer uma base de operações.;进一步的探索使我们发现了一个巨大的地下洞穴，里面有异常丰富的晶体生长。挖掘柔软的石灰岩，建立一个地下行动基地。;さらなる調査によりたどり着いたのは、結晶に富んだ広大な地下洞窟。柔らかい石灰岩を掘り、オペレーションのための地下基地を設置しよう。;추가 탐험으로 크리스털이 예외적으로 풍부한 거대한 지하 동굴에 도착했습니다. 연한 석회암을 발굴해 지하 작전 기지를 세우세요.
gui/menu/planetary_scanner/mission_caverns_jungle_entrance;Limestone Jungle;Wapienna Dżungla;Известняковые джунгли;Jungle de calcaire;Grüner Kalkstein;Selva caliza;Selva de Calcário;灰岩丛林;石灰岩ジャングル;석회암 밀림
gui/menu/planetary_scanner/mission_caverns_jungle_entrance_description;A limestone rich, tropical jungle zone located near the ocean. Search this area to track down the seismic anomaly that uncovered the presence of Anoryx on Galatea 37.;Bogata w wapień strefa tropikalnej dżungli położona w pobliżu oceanu. Przeszukaj ten obszar, aby namierzyć anomalię sejsmiczną, która ujawniła obecność Anoryxu na Galatei 37.;Рядом с океаном расположены богатые известняком тропические джунгли. Исследуйте этот район, чтобы найти сейсмическую аномалию, открывшую наличие анорикса на Галатее 37.;Une jungle riche en calcaire a été localisée près de l'océan. Fouillez la zone pour localiser l'anomalie sismique qui a révélé la présence d'anoryx sur Galatea 37.;Eine kalksteinreiche, tropische Dschungelzone in der Nähe des Ozeans. Durchsuche dieses Gebiet, um die seismische Anomalie aufzuspüren, die das Vorhandensein von Anoryx auf Galatea 37 nachgewiesen hat.;Una zona selvática tropical rica en caliza ubicada cerca del mar. Estudia la anomalía sísmica que desveló la presencia de anoryx en Galatea 37.;Uma zona de selva tropical rica em calcário localizada perto do oceano. Vasculhe esta área para rastrear a anomalia sísmica que revelou a presença de Anoryx em Galatea 37.;一个富含石灰石的热带丛林区，位于海洋附近。搜索这个区域，追踪发现伽拉忒亚37号上存在阿诺历克斯的地震异常点。;海の側に位置する石灰岩に富んだ熱帯ジャングル。このエリアを調査し、ガラテア37におけるアノリクスの存在へとつながった地震アノマリーを追跡しよう。;석회암이 풍부한 열대 밀림 구역으로 바다 근처에 위치합니다. 이 지역을 수색해 갈라테아 37에 아노릭스의 존재를 드러내는 이상 지진 현상을 추적하세요.
gui/menu/planetary_scanner/mission_caverns_entrance;Caverns Entrance;Wejście do jaskiń;Вход в пещеры;Entrée des cavernes;Grotteneingang;Entrada a las cavernas;Entrada das Cavernas;洞穴入口;洞窟の入り口;동굴 입구
