;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
biomes/swamp/swamp.biome;Fungal Swamp;Grzybowe Bagno;Грибная трясина;Marais fongique;Pilzsumpf;Ciénaga fúngica;Pântano Fúngico;真菌沼泽;真菌の沼;균류 늪지
BUTTON_dont_show_again;Don't show this again;Nie pokazuj tego więcej;Больше не показывать;Ne plus afficher;Nicht mehr anzeigen;No mostrar de nuevo;Não mostrar isso de novo;不要再显示此内容;今後表示しない;다시 보지 않기
BUTTON_load_with_mods;Load with incompatible Mods;Załaduj z niekompatybilnymi modami;Загрузить с несовместимыми модами;Charger avec des mods incompatibles;Mit inkompatiblen Mods laden;Cargado con mods incompatibles;Carregar com Mods incompatíveis;加载不兼容的模组;非対応MODを使用して起動;호환 불가능 모드로 로드
gui/hud/building_description/floor_decorative;Decorative floor for your base. Increases movement speed of the Mecha-suit and looks better than sand and rocks.;Dekoracyjna podłoga do Twojej bazy. Zwiększa prędkość ruchu Mecha i wyglada lepiej niż piach i skały.;Декоративное напольное покрытие для базы. Ускоряет движение меха-костюма и выглядит лучше песка и камней.;Un sol décoratif pour votre base. Améliore la vitesse de déplacement du mecha et a meilleur aspect que du sable et du gravier.;Ein dekorativer Boden für die Basis. Erhöht die Bewegungsgeschwindigkeit des Mecha-Anzugs und sieht besser aus als Sand und Steine.;Suelo decorativo para la base. Aumenta la velocidad de movimiento del traje mecánico y es mejor que la arena o las rocas.;Piso decorativo para sua base. Aumenta a velocidade de movimento do Traje Mecânico e tem aparência melhor que areia e pedras.;基地的装饰地板。可提高机甲装甲的移动速度，而且比沙子和石头更好看。;基地に使用される装飾用の床。メカスーツの移動速度を向上させ、砂や岩よりも見栄えがする。;기지 장식용 콘크리트 바닥. 메카 수트의 이동 속도를 빠르게 향상시키며, 모래와 돌이 깔렸을 때보다 나아 보입니다.
gui/hud/building_description/hedge;A decorative wall that can be used to divide sections of the base, wall off gardens, or create mazes.;Można użyć tej dekoracji, by oddzielić od siebie sekcje bazy, upiększyć ogród, lub nawet zbudować sobie labirynt. ;Декоративная стена для деления пространства базы, создания оград и лабиринтов.;Un mur décoratif qui peut être utilisé pour diviser les sections de la base, cloisonner des jardins, ou créer des labyrinthes.;Eine dekorative Mauer, die genutzt werden kann, um Räume in der Basis abzutrennen, Gärten zu umzäunen oder Labyrinthe zu erstellen.;Un muro decorativo que se puede usar para dividir secciones de la base, cerrar jardines o crear laberintos.;Uma parede decorativa que pode ser usada para dividir setores da base, murar jardins ou criar labirintos.;装饰墙壁，可用于划分基地区域、隔离花园或创建迷宫。;装飾用の壁。基地の区画を分割したり、庭園を個別に分けたり、迷路を作ったりできる。;기지의 섹션을 나누거나, 정원을 벽으로 막거나 미로를 만드는 데 사용 가능 한 장식용 벽입니다.
gui/hud/building_name/floor_decorative;Decorative Floor;Dekoracyjna Podłoga;Декоративный пол;Sol décoratif;Dekorativer Boden;Suelo decorativo;Piso Decorativo;装饰地板;装飾用の床;장식용 바닥
gui/hud/building_name/hedge;Hedge;Żywopłot;Живая изгородь;Rempart;Hecke;Seto;Cerca;绿篱;生垣;울타리
gui/menu/appearance/skins/blue3;${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/cow;${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin};${gui/menu/appearance/skins/unique_skin}
gui/menu/inventory/skill_description/tornado_acid;It creates a localized, high-speed air vortex that is infused with highly corrosive substances. The vortex travels along a set path, spraying everything with acid along the way.;Tworzy miejscowy wir powietrza o wysokiej prędkosći, który jest dodatkowo wypełniany silnie żrącą substancją. Wir podąża wyznaczoną ścieżką, wyrządzając znaczne szkody i opryskując kwasem wszystko dookoła.;Создает локализованное завихрение крайне едких веществ, циркулирующих с высокой скоростью. Завихрение движется по заданному пути, распространяя вокруг кислоту.;Elle génère un vortex localisé et à vitesse élevée infusé de substances hautement corrosives. Le vortex se déplace vers une destination prédéfinie, en aspergeant d’acide tout ce qui se trouve sur son passage.;Hiermit wird ein örtlich begrenzter Hochgeschwindigkeitsluftwirbel erzeugt, der mit einer stark korrosiven Substanz angereichert ist. Der Wirbel folgt einem festgelegten Pfad, wobei er alles im Umkreis mit Säure besprengt.;Crea un vórtice de aire infundido con sustancias de lo más corrosivas. Este vórtice va rociando con ácido a todo lo que se encuentra en su camino.;Cria um vórtice de ar com alta velocidade infundido com substâncias altamente corrosivas. O vórtice se desloca por um determinado caminho jogando ácido em tudo pela frente.;它能产生一个局部的高速空气漩涡，漩涡中充满了高腐蚀性物质。漩涡沿着设定的路径移动，沿途喷洒酸液。;腐食性の強い物質を混ぜた、高速回転する局所的な空気の「渦」を作り出す。この渦は進路に沿って進み、途上にあるものすべてに酸を浴びせかける。;강력한 산성의 부식성 물질이 주입된 고속으로 회전하는 국지적 공기 소용돌이를 생성합니다. 소용돌이는 정해진 경로를 따라 이동하며, 지나가는 모든 곳에 산을 뿌립니다.
