;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
BUTTON_request_pause_server;Request Server Pause;Poproś o Pauzę;Запросить паузу на сервере;Demander une pause du serveur;Serverpause anfragen;Solicitar pausa del servidor;Solicitar Pausa do Servidor;请求暂停服务器;サーバーの一時停止をリクエスト;서버 일시중지 요청
gui/hud/chat/ping_menu_pause_server;<style="chat_user">${sender}</style> requested server pause;<style="chat_user">${sender}</style> prosi o pauzę;<style="chat_user">${sender}</style> запрашивает паузу на сервере;<style="chat_user">${sender}</style> pause du serveur demandée;<style="chat_user">${sender}</style> hat eine Serverpause angefragt;<style="chat_user">${sender}</style> ha solicitado una pausa del servidor;<style="chat_user">${sender}</style> solicitou uma pausa do servidor;<style="chat_user">${sender}</style> 请求了暂停服务器;<style="chat_user">${sender}</style>がサーバーの一時停止をリクエスト;<style="chat_user">${sender}</style> 님이 서버 일시중지를 요청했습니다
gui/hud/hud_drop/dropped_items_and_resources;You have dropped weapons and resources:;Upuszczono broń oraz zasoby:;Вы уронили оружие и потеряли ресурсы:;Vous avez fait tomber des armes et perdu des ressources :;Du hast Waffen fallen gelassen und Rohstoffe verloren:;Has soltado armas y perdido recursos:;Você derrubou armas e perdeu recursos:;你已丢弃武器并损失资源：;武器を落とし、資源を失いました：;무기 드롭 및 자원 손실:
gui/hud/hud_drop/dropped_resources;You have dropped some resources:;Upuszczono zasoby:;Вы потеряли часть ресурсов:;Vous avez perdu quelques ressources :;Du hast einige Rohstoffe verloren:;Has perdido algunos recursos:;Você perdeu alguns recursos:;你损失了一些资源：;一部の資源を失いました：;자원 손실:
gui/hud/pipeline_cleared;Pipeline cleared!;Rura opróżniona!;Путь свободен!;Pipeline nettoyée !;Pipeline geleert!;¡Sistema de tuberías despejado!;Tubulação liberada!;管道已清空！;パイプラインがクリアされました！;파이프라인 정리 완료!
gui/hud/vote_canceled_in_danger;Rift Jump Cancelled - Attack in Progress;Skok Przerwany – Nadciąga Atak;Прыжок в портал отменен — идет атака;Saut dimensionnel annulé - Attaque en cours;Riftsprung abgebrochen – Angriff im Gange;Salto dimensional cancelado: ataque en curso;Salto de Fenda Cancelado – Ataque em curso;裂缝传送取消 - 当前区域遭遇攻击;リフトジャンプ中止 - 攻撃が進行中です;리프트 점프 취소됨 - 공격 진행 중
gui/menu/difficulty/death_skull_cooldown;Death Skulls - skull timeout;Czaszki Śmierci – Czas Trwania;Черепа смерти — таймер черепа;Crânes de la mort - Pause des crânes;Totenköpfe – Totenkopf-Timer;Calaveras de la muerte: se ha agotado el tiempo de calaveras;Caveiras da Morte – tempo esgotado;死亡惩罚：惩罚倒计时;デススカル - スカルのタイムアウト;데스 스컬 - 스컬 시간 초과
gui/menu/difficulty/death_skull_max_count;Death Skulls - maximum number;Czaszki Śmierci – Maksymalna Liczba;Черепа смерти — макс. количество;Crânes de la mort - Nombre maximum;Totenköpfe – maximale Anzahl;Calaveras de la muerte: cantidad máxima;Caveiras da Morte – número máximo;死亡惩罚：惩罚个数上限;デススカル - 最大数に達しました;데스 스컬 - 최대치 도달
gui/menu/difficulty/death_skull_penalty_time;Death Skulls - mech reconstruction delay;Czaszki Śmierci – Opoźnienie Rekonstrukcji;Черепа смерти — задержка восстановления меха-костюма;Crâne de la mort - Délai de reconstruction du mecha;Totenköpfe – Verzögerung der Rekonstruktion des Mechas;Calaveras de la muerte: demora en la reconstrucción de trajes;Caveiras da Morte – demora na reconstrução do traje.;死亡惩罚：机甲重构延迟;デススカル - メカの再構築が遅延しています;데스 스컬 - 메카 재구축 딜레이
gui/menu/difficulty/death_skull_resource_decrease_percent;Death Skulls - resource penalty;Czaszki Śmierci – Kara w Zasobach;Черепа смерти — штраф ресурсов;Crânes de la mort - Pénalité de ressources;Totenköpfe – Abzüge der Rohstoffe;Calaveras de la muerte: penalización de recursos;Caveiras da Morte – perda de recursos;死亡惩罚：资源损失;デススカル - 資源ペナルティ;데스 스컬 - 자원 페널티
